---------------------------...
DATE: 2015-04-13
L_MIN: 30
L_MAX: 2508
FILENAME: COM_PowerSpect_CMB_R2.01.fits
PROCVER: DX11d
+-------+------------+-----------+
| ELL   | D_ELL      | ERR       |
| 192   | 6345.196   | 550.872   |
| 193   | 5894.873   | 551.097   |
| 194   | 5502.003   | 551.254   |
| 195   | 4017.847   | 551.375   |
| 196   | 5551.147   | 551.434   |
| 197   | 5601.363   | 551.46    |
| 198   | 5645.342   | 551.413   |
| 199   | 5319.975   | 551.313   |
| 200   | 5223.444   | 551.169   |
| 201   | 4897.989   | 550.961   |
| 202   | 6125.78    | 550.714   |
| 203   | 5680.527   | 550.392   |
| 204   | 5325.455   | 550.033   |
| 205   | 6146.303   | 549.619   |
| 206   | 5328.54    | 549.152   |
| 207   | 5038.366   | 548.629   |
| 208   | 5723.138   | 548.061   |
| 209   | 4618.913   | 547.441   |
| 210   | 5414.302   | 546.774   |
| 211   | 5499.707   | 546.038   |
| 212   | 5867.286   | 545.262   |
| 213   | 5880.065   | 544.433   |
| 214   | 5260.755   | 543.557   |
| 215   | 6633.606   | 542.615   |
| 216   | 5778.803   | 541.629   |
| 217   | 5611.984   | 540.591   |
| 218   | 6248.983   | 539.507   |
| 219   | 5666.534   | 538.367   |
| 220   | 6346.05    | 537.175   |
| 221   | 5885.737   | 535.937   |
| 222   | 5753.105   | 534.645   |
| 223   | 5555.902   | 533.314   |
| 224   | 6096.063   | 531.923   |
| 225   | 5104.303   | 530.497   |
| 226   | 5936.664   | 529.01    |
| 227   | 6143.502   | 527.492   |
| 228   | 4730.305   | 525.911   |
| 229   | 5349.855   | 524.301   |
| 230   | 5653.927   | 522.631   |
| 231   | 5764.313   | 520.925   |
| 232   | 6645.258   | 519.167   |
| 233   | 6407.009   | 517.366   |
| 234   | 4523.516   | 515.522   |
| 235   | 6014.618   | 513.637   |
| 236   | 6074.846   | 511.71    |
| 237   | 5551.843   | 509.73    |
| 238   | 5922.611   | 507.716   |
| 239   | 5497.459   | 505.661   |
| 240   | 6048.944   | 503.565   |
| 241   | 5846.277   | 501.43    |
| 242   | 5397.502   | 499.253   |
| 243   | 5682.936   | 497.043   |
| 244   | 5187.02    | 494.791   |
| 245   | 5808.621   | 492.503   |
| 246   | 5729.268   | 490.184   |
| 247   | 5620.163   | 487.82    |
| 248   | 6011.119   | 485.426   |
| 249   | 4456.113   | 482.997   |
| 250   | 5083.237   | 480.528   |
| 251   | 5270.708   | 478.036   |
| 252   | 5699.764   | 475.5     |
| 253   | 4870.753   | 472.94    |
| 254   | 4409.238   | 470.342   |
| 255   | 5507.978   | 467.717   |
| 256   | 6079.186   | 465.065   |
| 257   | 5254.675   | 462.381   |
| 258   | 5422.963   | 459.67    |
| 259   | 4555.928   | 456.931   |
| 260   | 5700.215   | 454.169   |
| 261   | 5234.513   | 451.382   |
| 262   | 5509.534   | 448.567   |
| 263   | 6088.044   | 445.728   |
| 264   | 4814.191   | 442.867   |
| 265   | 4152.562   | 439.986   |
| 266   | 5567.865   | 437.075   |
| 267   | 5072.891   | 434.149   |
| 268   | 5564.031   | 431.201   |
| 269   | 4783.514   | 428.233   |
| 270   | 4256.171   | 425.249   |
| 271   | 5566.21    | 422.243   |
| 272   | 5839.838   | 419.224   |
| 273   | 4864.321   | 416.185   |
| 274   | 5329.004   | 413.135   |
| 275   | 4649.968   | 410.069   |
| 276   | 4009.706   | 406.989   |
| 277   | 5559.627   | 403.896   |
| 278   | 4992.963   | 400.794   |
| 279   | 5087.996   | 397.676   |
| 280   | 4343.212   | 394.55    |
| 281   | 4697.718   | 391.413   |
| 282   | 4983.011   | 388.27    |
| 283   | 5518.384   | 385.117   |
| 284   | 4432.385   | 381.956   |
| 285   | 3725.675   | 378.788   |
| 286   | 4601.76    | 375.617   |
| 287   | 4446.379   | 372.441   |
| 288   | 4170.456   | 369.26    |
| 289   | 4961.12    | 366.074   |
| 290   | 4570.173   | 362.887   |
| 291   | 3527.256   | 359.698   |
| 292   | 4674.134   | 356.507   |
| 293   | 4500.454   | 353.317   |
| 294   | 4108.5     | 350.124   |
| 295   | 4482.851   | 346.934   |
| 296   | 4707.322   | 343.745   |
| 297   | 3822.555   | 340.561   |
| 298   | 4036.057   | 337.377   |
| 299   | 3964.403   | 334.197   |
| 300   | 4547.998   | 331.023   |
| 301   | 3850.101   | 327.855   |
| 302   | 4037.639   | 324.691   |
| 303   | 3234.489   | 321.534   |
| 304   | 3892.419   | 318.384   |
| 305   | 4201.519   | 315.244   |
| 306   | 3619.063   | 312.11    |
| 307   | 3462.747   | 308.988   |
| 308   | 4196.765   | 305.873   |
| 309   | 3835.907   | 302.771   |
| 310   | 3625.848   | 299.682   |
| 311   | 3817.567   | 296.603   |
| 312   | 3463.077   | 293.535   |
| 313   | 3683.69    | 290.482   |
| 314   | 3053.906   | 287.443   |
| 315   | 3743.118   | 284.42    |
| 316   | 3964.536   | 281.41    |
| 317   | 3048.258   | 278.417   |
| 318   | 3139.089   | 275.442   |
| 319   | 3691.994   | 272.483   |
| 320   | 3690.751   | 269.543   |
| 321   | 3088.828   | 266.62    |
| 322   | 3663.382   | 263.717   |
| 323   | 3292.046   | 260.833   |
| 324   | 3117.37    | 257.97    |
| 325   | 3366.337   | 255.127   |
| 326   | 3671.342   | 252.304   |
| 327   | 2956.002   | 249.506   |
| 328   | 3397.81    | 246.728   |
| 329   | 3416.062   | 243.975   |
| 330   | 2991.48    | 241.243   |
| 331   | 3113.2     | 238.537   |
| 332   | 2968.984   | 235.854   |
| 333   | 2717.2     | 233.196   |
| 334   | 2791.527   | 230.565   |
| 335   | 2787.237   | 227.959   |
| 336   | 3046.582   | 225.381   |
| 337   | 2762.744   | 222.83    |
| 338   | 2953.028   | 220.305   |
| 339   | 2729.407   | 217.809   |
| 340   | 2823.215   | 215.341   |
| 341   | 2806.654   | 212.902   |
| 342   | 2868.623   | 210.492   |
| 343   | 2485.551   | 208.111   |
| 344   | 2619.613   | 205.759   |
| 345   | 2363.611   | 203.438   |
| 346   | 2514.288   | 201.147   |
| 347   | 2349.306   | 198.887   |
| 348   | 2472.777   | 196.658   |
| 349   | 2412.19    | 194.46    |
| 350   | 2401.695   | 192.294   |
| 351   | 2851.784   | 190.161   |
| 352   | 2360.288   | 188.06    |
| 353   | 2784.255   | 185.991   |
| 354   | 2666.071   | 183.956   |
| 355   | 2319.537   | 181.954   |
| 356   | 2093.699   | 179.985   |
| 357   | 2352.688   | 178.05    |
| 358   | 2278.991   | 176.148   |
| 359   | 2066.904   | 174.28    |
| 360   | 2314.67    | 172.446   |
| 361   | 2442.074   | 170.645   |
| 362   | 2223.05    | 168.879   |
| 363   | 2147.453   | 167.147   |
| 364   | 2692.403   | 165.45    |
| 365   | 1952.667   | 163.786   |
| 366   | 1845.09    | 162.158   |
| 367   | 2114.139   | 160.564   |
| 368   | 2011.785   | 159.005   |
| 369   | 2225.087   | 157.482   |
| 370   | 1969.864   | 155.993   |
| 371   | 2234.181   | 154.539   |
| 372   | 1959.007   | 153.12    |
| 373   | 2127.991   | 151.737   |
| 374   | 1977.213   | 150.388   |
| 375   | 2118.965   | 149.073   |
| 376   | 1991.361   | 147.794   |
| 377   | 1783.707   | 146.549   |
| 378   | 2197.566   | 145.338   |
| 379   | 2459.671   | 144.162   |
| 380   | 1776.076   | 143.02    |
| 381   | 1884.276   | 141.913   |
| 382   | 1601.966   | 140.839   |
| 383   | 1976.898   | 139.8     |
| 384   | 2004.402   | 138.795   |
| 385   | 1615.073   | 137.824   |
| 386   | 1706.131   | 136.887   |
| 387   | 2003.2     | 135.983   |
| 388   | 1800.142   | 135.114   |
| 389   | 1666.228   | 134.277   |
| 390   | 1901.962   | 133.474   |
| 391   | 1718.635   | 132.703   |
| 392   | 1943.768   | 131.964   |
| 393   | 1759.47    | 131.258   |
| 394   | 1886.384   | 130.583   |
| 395   | 1674.203   | 129.941   |
| 396   | 1740.25    | 129.329   |
| 397   | 1776.574   | 128.748   |
| 398   | 1659.475   | 128.197   |
| 399   | 1853.408   | 127.678   |
| 400   | 1749.677   | 127.188   |
| 401   | 1800.629   | 126.728   |
| 402   | 1893.636   | 126.297   |
| 403   | 1514.403   | 125.895   |
| 404   | 1580.19    | 125.523   |
| 405   | 1742.82    | 125.179   |
| 406   | 1867.917   | 124.862   |
| 407   | 1802.944   | 124.574   |
| 408   | 1735.898   | 124.312   |
| 409   | 1692.57    | 124.077   |
| 410   | 1751.606   | 123.868   |
| 411   | 1661.534   | 123.685   |
| 412   | 1631.646   | 123.528   |
| 413   | 1801.983   | 123.395   |
| 414   | 1712.271   | 123.287   |
| 415   | 1982.011   | 123.202   |
| 416   | 1721.24    | 123.141   |
| 417   | 1390.635   | 123.103   |
| 418   | 1703.867   | 123.089   |
| 419   | 1802.426   | 123.096   |
| 420   | 1830.737   | 123.125   |
| 421   | 1638.995   | 123.175   |
| 422   | 1653.743   | 123.246   |
| 423   | 1819.514   | 123.338   |
| 424   | 1793.895   | 123.449   |
| 425   | 1508.037   | 123.58    |
| 426   | 1622.443   | 123.729   |
| 427   | 1738.055   | 123.897   |
| 428   | 1795.113   | 124.082   |
| 429   | 1953.404   | 124.285   |
| 430   | 1894.426   | 124.505   |
| 431   | 1659.661   | 124.741   |
| 432   | 1956.505   | 124.993   |
| 433   | 1632.788   | 125.26    |
| 434   | 1944.305   | 125.542   |
| 435   | 1841.69    | 125.838   |
| 436   | 1542.182   | 126.149   |
| 437   | 2050.109   | 126.473   |
| 438   | 1852.11    | 126.81    |
| 439   | 1497.37    | 127.16    |
| 440   | 1726.486   | 127.522   |
| 441   | 1834.855   | 127.895   |
| 442   | 2044.319   | 128.28    |
| 443   | 1897.146   | 128.675   |
| 444   | 1850.927   | 129.08    |
| 445   | 1774.431   | 129.494   |
| 446   | 1717.994   | 129.918   |
| 447   | 1723.352   | 130.35    |
| 448   | 1784.11    | 130.791   |
| 449   | 1881.231   | 131.239   |
| 450   | 2020.168   | 131.694   |
| 451   | 1828.142   | 132.155   |
| 452   | 2164.395   | 132.624   |
| 453   | 1904.223   | 133.097   |
| 454   | 2007.947   | 133.576   |
| 455   | 2134.596   | 134.06    |
| 456   | 2251.455   | 134.549   |
| 457   | 1974.324   | 135.041   |
| 458   | 1976.136   | 135.537   |
| 459   | 2166.591   | 136.036   |
| 460   | 1946.264   | 136.538   |
| 461   | 2186.124   | 137.042   |
| 462   | 2315.229   | 137.549   |
| 463   | 2213.577   | 138.056   |
| 464   | 2113.861   | 138.565   |
| 465   | 2485.445   | 139.074   |
| 466   | 2162.547   | 139.584   |
| 467   | 2251.199   | 140.094   |
| 468   | 2333.186   | 140.604   |
| 469   | 2131.317   | 141.112   |
| 470   | 1983.772   | 141.62    |
| 471   | 2332.528   | 142.125   |
| 472   | 2135.39    | 142.63    |
| 473   | 2254.202   | 143.131   |
| 474   | 2018.638   | 143.63    |
| 475   | 2191.649   | 144.126   |
| 476   | 2291.696   | 144.619   |
| 477   | 2275.433   | 145.108   |
| 478   | 2191.108   | 145.593   |
| 479   | 2483.098   | 146.073   |
| 480   | 2312.884   | 146.549   |
| 481   | 2438.655   | 147.019   |
| 482   | 2180.722   | 147.484   |
| 483   | 2546.822   | 147.943   |
| 484   | 2200.636   | 148.396   |
| 485   | 2073.97    | 148.843   |
| 486   | 2488.455   | 149.282   |
| 487   | 2245.604   | 149.715   |
| 488   | 2449.372   | 150.14    |
| 489   | 2050.737   | 150.556   |
| 490   | 2446.109   | 150.965   |
| 491   | 2465.94    | 151.366   |
| 492   | 2516.355   | 151.758   |
| 493   | 2653.997   | 152.141   |
| 494   | 2637.301   | 152.515   |
| 495   | 2301.934   | 152.88    |
| 496   | 2061.108   | 153.235   |
| 497   | 2217.64    | 153.581   |
| 498   | 2382.145   | 153.917   |
| 499   | 2525.544   | 154.243   |
| 500   | 2563.537   | 154.558   |
| 501   | 2661.573   | 154.863   |
| 502   | 2436.803   | 155.157   |
| 503   | 2393.353   | 155.44    |
| 504   | 2758.726   | 155.712   |
| 505   | 2654.205   | 155.972   |
| 506   | 2388.986   | 156.221   |
| 507   | 2470.097   | 156.457   |
| 508   | 2427.595   | 156.683   |
| 509   | 2566.485   | 156.896   |
| 510   | 2745.82    | 157.097   |
| 511   | 2457.469   | 157.287   |
| 512   | 2847.511   | 157.464   |
| 513   | 2670.844   | 157.628   |
| 514   | 2339.653   | 157.781   |
| 515   | 2597.187   | 157.921   |
| 516   | 2543.241   | 158.048   |
| 517   | 2575.554   | 158.163   |
| 518   | 2579.338   | 158.265   |
| 519   | 2571.87    | 158.354   |
| 520   | 2518.696   | 158.43    |
| 521   | 2418.158   | 158.493   |
| 522   | 2865.382   | 158.544   |
| 523   | 2751.981   | 158.581   |
| 524   | 2546.467   | 158.605   |
| 525   | 2534.759   | 158.616   |
| 526   | 2354.041   | 158.605   |
| 527   | 2477.899   | 158.59    |
| 528   | 2671.449   | 158.562   |
| 529   | 2797.756   | 158.521   |
| 530   | 2359.648   | 158.467   |
| 531   | 2719.904   | 158.399   |
| 532   | 2438.192   | 158.319   |
| 533   | 2457.995   | 158.226   |
| 534   | 2505.574   | 158.12    |
| 535   | 2689.989   | 158.001   |
